",,,,,,,,Tempo de jogo,Tempo de jogo,Tempo de jogo,Tempo de jogo,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Desempenho,Esperado,Esperado,Esperado,Esperado,Progressão,Progressão,Progressão,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,A cada 90 minutos,,-additional"
"Class.,Jogador,Nação,Pos.,Equipe,Camp.,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999"
"1,Brenden Aaronson,us USA,LTAT,Leeds United,eng Premier League,22-167,2000,28,25,2.085,23.2,1,2,3,1,0,0,2,0,3.2,3.2,3.9,71,39,74,129,004,009,013,004,013,014,017,031,014,031,Partidas,5bc43860"
"2,Paxten Aaronson,us USA,LT,Eint Frankfurt,de Bundesliga,19-224,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,4cd41883"
"3,James Abankwah,ie IRL,ZG,Udinese,it Serie A,19-081,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,4b7a9fcc"
"4,Yunis Abdelhamid,ma MAR,ZG,Reims,fr Ligue 1,35-191,1987,29,29,2.610,29.0,1,1,2,1,0,0,3,0,1.8,1.8,0.4,22,22,150,6,003,003,007,003,007,006,002,008,006,008,Partidas,32c2d95f"
"5,Himad Abdelli,fr FRA,LTAT,Angers,fr Ligue 1,23-141,1999,21,15,1.351,15.0,0,0,0,0,0,0,2,0,0.9,0.9,2.0,29,37,90,77,000,000,000,000,000,006,013,019,006,019,Partidas,7978cbf0"
"6,Salis Abdul Samed,gh GHA,LT,Lens,fr Ligue 1,23-012,2000,27,27,2.426,27.0,1,1,2,1,0,0,4,0,0.8,0.8,1.5,23,28,141,37,004,004,007,004,007,003,005,008,003,008,Partidas,82464ce3"
"7,Laurent Abergel,fr FRA,LT,Lorient,fr Ligue 1,30-065,1993,21,20,1.629,18.1,0,1,1,0,0,0,5,1,0.4,0.4,1.1,14,8,91,10,000,006,006,000,006,002,006,008,002,008,Partidas,31626657"
"8,Oliver Abildgaard,dk DEN,LTZG,Hellas Verona,it Serie A,26-301,1996,4,0,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,0,1,3,000,000,000,000,000,000,007,007,000,007,Partidas,8f5cdf66"
